"dataset","loci_name","alphabet","n_taxa","n_bp","pass_phi","pass_maxchi","pass_geneconv_inner","pass_geneconv_outer","pass_geneconv"
"1KP","5841","protein",1029,358,TRUE,TRUE,NA,NA,NA
"1KP","5842","protein",723,525,TRUE,TRUE,NA,NA,NA
"1KP","5843","protein",944,209,TRUE,TRUE,NA,NA,NA
"1KP","5849","protein",982,224,TRUE,TRUE,NA,NA,NA
"1KP","5853","protein",669,229,TRUE,TRUE,NA,NA,NA
"1KP","5857","protein",1090,248,TRUE,TRUE,NA,NA,NA
"1KP","5858","protein",1028,421,TRUE,TRUE,NA,NA,NA
"1KP","5859","protein",1073,334,TRUE,TRUE,NA,NA,NA
"1KP","5863","protein",747,698,TRUE,TRUE,NA,NA,NA
"1KP","5866","protein",1019,320,TRUE,TRUE,NA,NA,NA
"1KP","5870","protein",1058,254,TRUE,TRUE,NA,NA,NA
"1KP","5892","protein",628,806,TRUE,TRUE,TRUE,TRUE,TRUE
"1KP","5893","protein",876,281,TRUE,TRUE,NA,NA,NA
"1KP","5894","protein",919,333,TRUE,TRUE,TRUE,TRUE,TRUE
"1KP","5899","protein",921,760,TRUE,TRUE,NA,NA,NA
"1KP","5910","protein",1108,307,TRUE,TRUE,NA,NA,NA
"1KP","5913","protein",968,430,TRUE,TRUE,NA,NA,NA
"1KP","5915","protein",674,184,NA,TRUE,TRUE,TRUE,TRUE
"1KP","5916","protein",717,694,TRUE,TRUE,NA,NA,NA
"1KP","5918","protein",1011,365,TRUE,TRUE,NA,NA,NA
"1KP","5919","protein",852,232,TRUE,TRUE,NA,NA,NA
"1KP","5921","protein",544,1223,TRUE,TRUE,NA,NA,NA
"1KP","5922","protein",1053,577,TRUE,TRUE,NA,NA,NA
"1KP","5926","protein",1064,283,TRUE,TRUE,NA,NA,NA
"1KP","5933","protein",1073,392,TRUE,TRUE,NA,NA,NA
"1KP","5936","protein",1061,332,TRUE,TRUE,NA,NA,NA
"1KP","5940","protein",844,315,TRUE,TRUE,NA,NA,NA
"1KP","5942","protein",1046,286,TRUE,TRUE,NA,NA,NA
"1KP","5943","protein",936,845,TRUE,TRUE,NA,NA,NA
"1KP","5944","protein",731,306,TRUE,TRUE,NA,NA,NA
"1KP","5945","protein",1115,260,TRUE,TRUE,NA,NA,NA
"1KP","5949","protein",993,230,TRUE,TRUE,NA,NA,NA
"1KP","5950","protein",1094,291,TRUE,TRUE,NA,NA,NA
"1KP","5958","protein",990,183,NA,NA,TRUE,TRUE,TRUE
"1KP","5960","protein",732,532,TRUE,TRUE,NA,NA,NA
"1KP","5968","protein",1033,210,TRUE,TRUE,NA,NA,NA
"1KP","5974","protein",983,279,TRUE,TRUE,NA,NA,NA
"1KP","5977","protein",963,247,TRUE,TRUE,NA,NA,NA
"1KP","5980","protein",1003,406,TRUE,TRUE,NA,NA,NA
"1KP","5981","protein",907,359,TRUE,TRUE,NA,NA,NA
"1KP","5990","protein",813,145,NA,TRUE,NA,NA,NA
"1KP","5992","protein",759,321,TRUE,TRUE,NA,NA,NA
"1KP","6000","protein",909,286,TRUE,TRUE,NA,NA,NA
"1KP","6003","protein",896,172,NA,TRUE,NA,NA,NA
"1KP","6004","protein",953,325,TRUE,TRUE,NA,NA,NA
"1KP","6016","protein",943,598,TRUE,TRUE,NA,NA,NA
"1KP","6026","protein",1088,340,TRUE,TRUE,NA,NA,NA
"1KP","6029","protein",1010,356,TRUE,TRUE,NA,NA,NA
"1KP","6034","protein",701,467,TRUE,TRUE,NA,NA,NA
"1KP","6035","protein",165,913,TRUE,TRUE,NA,NA,NA
"1KP","6036","protein",1037,626,TRUE,TRUE,NA,NA,NA
"1KP","6038","protein",1045,435,TRUE,TRUE,NA,NA,NA
"1KP","6041","protein",642,759,TRUE,TRUE,NA,NA,NA
"1KP","6048","protein",872,129,NA,TRUE,NA,NA,NA
"1KP","6050","protein",1047,416,TRUE,TRUE,NA,NA,NA
"1KP","6051","protein",1076,456,TRUE,TRUE,NA,NA,NA
"1KP","6056","protein",812,483,TRUE,TRUE,NA,NA,NA
"1KP","6064","protein",854,347,TRUE,TRUE,NA,NA,NA
"1KP","6065","protein",572,1088,TRUE,TRUE,NA,NA,NA
"1KP","6068","protein",759,159,NA,TRUE,NA,NA,NA
"1KP","6072","protein",1044,308,TRUE,TRUE,NA,NA,NA
"1KP","6098","protein",1028,728,TRUE,TRUE,NA,NA,NA
"1KP","6114","protein",969,214,TRUE,TRUE,NA,NA,NA
"1KP","6119","protein",298,1013,TRUE,TRUE,NA,NA,NA
"1KP","6128","protein",1057,309,TRUE,TRUE,NA,NA,NA
"1KP","6130","protein",1131,287,TRUE,TRUE,NA,NA,NA
"1KP","6139","protein",1089,349,TRUE,TRUE,NA,NA,NA
"1KP","6148","protein",934,219,TRUE,TRUE,NA,NA,NA
"1KP","6150","protein",995,276,TRUE,TRUE,NA,NA,NA
"1KP","6164","protein",869,139,NA,TRUE,TRUE,TRUE,TRUE
"1KP","6175","protein",925,594,TRUE,TRUE,NA,NA,NA
"1KP","6176","protein",1114,571,TRUE,TRUE,NA,NA,NA
"1KP","6183","protein",736,490,TRUE,TRUE,NA,NA,NA
"1KP","6198","protein",1027,223,FALSE,TRUE,NA,NA,NA
"1KP","6216","protein",1109,336,TRUE,TRUE,NA,NA,NA
"1KP","6221","protein",855,289,TRUE,TRUE,NA,NA,NA
"1KP","6226","protein",953,446,TRUE,TRUE,NA,NA,NA
"1KP","6227","protein",1033,281,TRUE,TRUE,NA,NA,NA
"1KP","6237","protein",906,526,TRUE,TRUE,NA,NA,NA
"1KP","6238","protein",534,545,TRUE,TRUE,NA,NA,NA
"1KP","6258","protein",1090,369,TRUE,TRUE,NA,NA,NA
"1KP","6264","protein",902,240,TRUE,TRUE,NA,NA,NA
"1KP","6265","protein",1087,278,TRUE,TRUE,NA,NA,NA
"1KP","6270","protein",952,143,NA,TRUE,NA,NA,NA
"1KP","6274","protein",956,265,TRUE,TRUE,NA,NA,NA
"1KP","6282","protein",1092,196,NA,TRUE,NA,NA,NA
"1KP","6284","protein",826,534,TRUE,TRUE,NA,NA,NA
"1KP","6295","protein",1111,504,TRUE,TRUE,NA,NA,NA
"1KP","6298","protein",1062,174,NA,TRUE,TRUE,TRUE,TRUE
"1KP","6299","protein",986,194,NA,TRUE,NA,NA,NA
"1KP","6303","protein",978,231,TRUE,TRUE,NA,NA,NA
"1KP","6318","protein",903,824,TRUE,TRUE,NA,NA,NA
"1KP","6320","protein",839,528,TRUE,TRUE,NA,NA,NA
"1KP","6363","protein",833,482,TRUE,TRUE,NA,NA,NA
"1KP","6366","protein",783,968,TRUE,TRUE,NA,NA,NA
"1KP","6373","protein",963,356,TRUE,TRUE,NA,NA,NA
"1KP","6376","protein",937,274,TRUE,TRUE,NA,NA,NA
"1KP","6378","protein",1018,396,TRUE,TRUE,NA,NA,NA
"1KP","6379","protein",654,159,NA,TRUE,TRUE,TRUE,TRUE
"1KP","6383","protein",896,669,TRUE,TRUE,NA,NA,NA
"1KP","6384","protein",972,381,TRUE,TRUE,NA,NA,NA
"1KP","6387","protein",1041,312,TRUE,TRUE,NA,NA,NA
"1KP","6389","protein",679,404,TRUE,TRUE,NA,NA,NA
"1KP","6393","protein",926,323,TRUE,TRUE,NA,NA,NA
"1KP","6398","protein",994,238,TRUE,TRUE,NA,NA,NA
"1KP","6401","protein",695,305,TRUE,TRUE,NA,NA,NA
"1KP","6404","protein",1096,299,TRUE,TRUE,NA,NA,NA
"1KP","6406","protein",788,374,TRUE,TRUE,NA,NA,NA
"1KP","6407","protein",914,204,TRUE,TRUE,NA,NA,NA
"1KP","6412","protein",984,237,TRUE,TRUE,NA,NA,NA
"1KP","6420","protein",755,366,TRUE,TRUE,NA,NA,NA
"1KP","6430","protein",38,101,NA,TRUE,TRUE,TRUE,TRUE
"1KP","6439","protein",974,242,TRUE,TRUE,NA,NA,NA
"1KP","6447","protein",979,175,NA,TRUE,TRUE,TRUE,TRUE
"1KP","6448","protein",845,307,TRUE,TRUE,NA,NA,NA
"1KP","6449","protein",687,105,NA,TRUE,TRUE,TRUE,TRUE
"1KP","6450","protein",1100,472,TRUE,TRUE,NA,NA,NA
"1KP","6451","protein",771,583,TRUE,TRUE,NA,NA,NA
"1KP","6454","protein",1088,205,TRUE,TRUE,NA,NA,NA
"1KP","6457","protein",870,239,TRUE,TRUE,NA,NA,NA
"1KP","6458","protein",1066,450,TRUE,TRUE,NA,NA,NA
"1KP","6459","protein",1037,287,TRUE,TRUE,NA,NA,NA
"1KP","6460","protein",998,490,TRUE,TRUE,NA,NA,NA
"1KP","6462","protein",1062,300,FALSE,TRUE,NA,NA,NA
"1KP","6466","protein",948,328,TRUE,TRUE,NA,NA,NA
"1KP","6481","protein",178,591,TRUE,TRUE,NA,NA,NA
"1KP","6483","protein",1065,292,TRUE,TRUE,NA,NA,NA
"1KP","6487","protein",850,670,TRUE,TRUE,NA,NA,NA
"1KP","6488","protein",1055,400,TRUE,TRUE,NA,NA,NA
"1KP","6494","protein",982,520,TRUE,TRUE,NA,NA,NA
"1KP","6496","protein",1069,427,TRUE,TRUE,NA,NA,NA
"1KP","6498","protein",805,182,NA,TRUE,TRUE,TRUE,TRUE
"1KP","6499","protein",643,435,TRUE,TRUE,NA,NA,NA
"1KP","6500","protein",1015,761,TRUE,TRUE,NA,NA,NA
"1KP","6506","protein",1035,230,TRUE,TRUE,NA,NA,NA
"1KP","6507","protein",778,536,TRUE,TRUE,NA,NA,NA
"1KP","6508","protein",926,432,TRUE,TRUE,NA,NA,NA
"1KP","6514","protein",1004,203,TRUE,TRUE,NA,NA,NA
"1KP","6526","protein",608,269,TRUE,TRUE,NA,NA,NA
"1KP","6528","protein",1009,212,TRUE,TRUE,NA,NA,NA
"1KP","6531","protein",941,207,TRUE,TRUE,NA,NA,NA
"1KP","6533","protein",1099,475,TRUE,TRUE,NA,NA,NA
"1KP","6538","protein",1034,232,TRUE,TRUE,NA,NA,NA
"1KP","6544","protein",798,962,TRUE,TRUE,NA,NA,NA
"1KP","6548","protein",483,383,TRUE,TRUE,NA,NA,NA
"1KP","6550","protein",923,212,TRUE,TRUE,NA,NA,NA
"1KP","6552","protein",935,243,TRUE,TRUE,NA,NA,NA
"1KP","6557","protein",853,288,TRUE,TRUE,NA,NA,NA
"1KP","6559","protein",858,311,TRUE,TRUE,NA,NA,NA
"1KP","6563","protein",906,497,TRUE,TRUE,NA,NA,NA
"1KP","6565","protein",912,220,TRUE,TRUE,NA,NA,NA
"1KP","6570","protein",986,260,TRUE,TRUE,NA,NA,NA
"1KP","6572","protein",1048,362,TRUE,TRUE,NA,NA,NA
"1KP","6601","protein",872,296,TRUE,TRUE,NA,NA,NA
"1KP","6620","protein",1098,301,TRUE,TRUE,NA,NA,NA
"1KP","6628","protein",768,263,TRUE,TRUE,TRUE,TRUE,TRUE
"1KP","6631","protein",918,313,TRUE,TRUE,NA,NA,NA
"1KP","6636","protein",1051,264,TRUE,TRUE,NA,NA,NA
"1KP","6639","protein",789,404,TRUE,TRUE,NA,NA,NA
"1KP","6641","protein",1027,237,TRUE,TRUE,NA,NA,NA
"1KP","6652","protein",949,573,TRUE,TRUE,NA,NA,NA
"1KP","6660","protein",940,271,TRUE,TRUE,NA,NA,NA
"1KP","6667","protein",897,531,TRUE,TRUE,NA,NA,NA
"1KP","6678","protein",918,288,TRUE,TRUE,NA,NA,NA
"1KP","6679","protein",923,263,TRUE,TRUE,NA,NA,NA
"1KP","6680","protein",675,243,TRUE,TRUE,TRUE,TRUE,TRUE
"1KP","6682","protein",544,325,TRUE,TRUE,NA,NA,NA
"1KP","6685","protein",1066,318,TRUE,TRUE,NA,NA,NA
"1KP","6689","protein",1024,394,TRUE,TRUE,NA,NA,NA
"1KP","6705","protein",575,107,NA,TRUE,TRUE,TRUE,TRUE
"1KP","6713","protein",851,336,TRUE,TRUE,NA,NA,NA
"1KP","6717","protein",1007,609,TRUE,TRUE,NA,NA,NA
"1KP","6732","protein",791,223,TRUE,TRUE,NA,NA,NA
"1KP","6733","protein",871,223,TRUE,TRUE,NA,NA,NA
"1KP","6738","protein",197,104,NA,FALSE,FALSE,TRUE,FALSE
"1KP","6746","protein",953,166,NA,TRUE,NA,NA,NA
"1KP","6779","protein",992,272,TRUE,TRUE,NA,NA,NA
"1KP","6780","protein",961,205,TRUE,TRUE,NA,NA,NA
"1KP","6782","protein",827,213,TRUE,TRUE,NA,NA,NA
"1KP","6785","protein",870,207,TRUE,TRUE,NA,NA,NA
"1KP","6787","protein",655,351,TRUE,TRUE,NA,NA,NA
"1KP","6791","protein",879,215,TRUE,TRUE,NA,NA,NA
"1KP","6792","protein",767,307,TRUE,TRUE,NA,NA,NA
"1KP","6797","protein",917,381,TRUE,TRUE,NA,NA,NA
"1KP","6809","protein",774,431,TRUE,TRUE,NA,NA,NA
"1KP","6825","protein",1008,178,NA,TRUE,NA,NA,NA
"1KP","6833","protein",810,309,TRUE,TRUE,NA,NA,NA
"1KP","6848","protein",909,228,TRUE,TRUE,NA,NA,NA
"1KP","6854","protein",978,270,TRUE,TRUE,NA,NA,NA
"1KP","6859","protein",1060,340,TRUE,TRUE,NA,NA,NA
"1KP","6860","protein",1056,301,TRUE,TRUE,NA,NA,NA
"1KP","6863","protein",771,608,TRUE,TRUE,NA,NA,NA
"1KP","6864","protein",1039,217,TRUE,TRUE,NA,NA,NA
"1KP","6865","protein",969,318,TRUE,TRUE,NA,NA,NA
"1KP","6870","protein",645,688,TRUE,TRUE,NA,NA,NA
"1KP","6875","protein",965,472,TRUE,TRUE,NA,NA,NA
"1KP","6876","protein",919,351,TRUE,TRUE,NA,NA,NA
"1KP","6882","protein",944,269,TRUE,TRUE,NA,NA,NA
"1KP","6883","protein",1007,293,TRUE,TRUE,NA,NA,NA
"1KP","6886","protein",90,101,NA,TRUE,TRUE,TRUE,TRUE
"1KP","6909","protein",1048,212,TRUE,TRUE,NA,NA,NA
"1KP","6913","protein",1120,366,TRUE,TRUE,NA,NA,NA
"1KP","6914","protein",959,429,TRUE,TRUE,NA,NA,NA
"1KP","6933","protein",773,423,TRUE,TRUE,NA,NA,NA
"1KP","6946","protein",1052,159,NA,TRUE,TRUE,TRUE,TRUE
"1KP","6947","protein",542,671,TRUE,TRUE,NA,NA,NA
"1KP","6954","protein",842,261,TRUE,TRUE,NA,NA,NA
"1KP","6956","protein",548,574,TRUE,TRUE,NA,NA,NA
"1KP","6958","protein",741,305,TRUE,TRUE,NA,NA,NA
"1KP","6961","protein",1065,371,TRUE,TRUE,NA,NA,NA
"1KP","6962","protein",1015,216,TRUE,TRUE,NA,NA,NA
"1KP","6968","protein",1040,304,TRUE,TRUE,NA,NA,NA
"1KP","6969","protein",767,149,NA,TRUE,TRUE,TRUE,TRUE
"1KP","6975","protein",543,526,TRUE,TRUE,NA,NA,NA
"1KP","6977","protein",927,214,TRUE,TRUE,NA,NA,NA
"1KP","6978","protein",1051,306,TRUE,TRUE,NA,NA,NA
"1KP","6979","protein",1031,304,TRUE,TRUE,NA,NA,NA
"1KP","6983","protein",743,256,TRUE,TRUE,NA,NA,NA
"1KP","6989","protein",794,325,TRUE,TRUE,NA,NA,NA
"1KP","6992","protein",929,169,NA,TRUE,NA,NA,NA
"1KP","6995","protein",1017,346,TRUE,TRUE,NA,NA,NA
"1KP","7013","protein",937,296,TRUE,TRUE,NA,NA,NA
"1KP","7021","protein",939,401,TRUE,TRUE,NA,NA,NA
"1KP","7024","protein",690,188,NA,TRUE,TRUE,TRUE,TRUE
"1KP","7025","protein",828,247,TRUE,TRUE,NA,NA,NA
"1KP","7028","protein",931,209,TRUE,TRUE,NA,NA,NA
"1KP","7029","protein",1003,300,TRUE,TRUE,NA,NA,NA
"1KP","7032","protein",690,173,NA,TRUE,NA,NA,NA
"1KP","7067","protein",1005,243,TRUE,TRUE,NA,NA,NA
"1KP","7111","protein",960,276,TRUE,TRUE,NA,NA,NA
"1KP","7120","protein",450,402,TRUE,TRUE,NA,NA,NA
"1KP","7128","protein",941,466,TRUE,TRUE,NA,NA,NA
"1KP","7135","protein",892,273,TRUE,TRUE,NA,NA,NA
"1KP","7136","protein",1049,246,TRUE,TRUE,NA,NA,NA
"1KP","7141","protein",1005,277,TRUE,TRUE,NA,NA,NA
"1KP","7174","protein",936,548,TRUE,TRUE,NA,NA,NA
"1KP","7194","protein",978,235,TRUE,TRUE,NA,NA,NA
"1KP","7237","protein",897,214,TRUE,TRUE,TRUE,TRUE,TRUE
"1KP","7241","protein",819,229,TRUE,TRUE,NA,NA,NA
"1KP","7248","protein",818,466,TRUE,TRUE,NA,NA,NA
"1KP","7249","protein",512,149,NA,TRUE,TRUE,TRUE,TRUE
"1KP","7273","protein",951,310,TRUE,TRUE,NA,NA,NA
"1KP","7279","protein",997,310,TRUE,TRUE,NA,NA,NA
"1KP","7296","protein",840,167,NA,TRUE,NA,NA,NA
"1KP","7313","protein",762,476,TRUE,TRUE,NA,NA,NA
"1KP","7324","protein",931,324,TRUE,TRUE,NA,NA,NA
"1KP","7325","protein",690,225,TRUE,TRUE,NA,NA,NA
"1KP","7331","protein",635,382,TRUE,TRUE,NA,NA,NA
"1KP","7333","protein",827,272,TRUE,TRUE,NA,NA,NA
"1KP","7336","protein",904,209,TRUE,TRUE,NA,NA,NA
"1KP","7361","protein",915,226,TRUE,TRUE,NA,NA,NA
"1KP","7367","protein",908,133,NA,TRUE,NA,NA,NA
"1KP","7371","protein",549,141,NA,TRUE,TRUE,TRUE,TRUE
"1KP","7572","protein",931,384,TRUE,TRUE,NA,NA,NA
"1KP","7577","protein",879,286,TRUE,TRUE,NA,NA,NA
"1KP","7583","protein",344,323,TRUE,TRUE,NA,NA,NA
"1KP","7601","protein",843,148,NA,TRUE,NA,NA,NA
"1KP","7602","protein",657,344,TRUE,TRUE,NA,NA,NA
"1KP","7628","protein",933,285,TRUE,TRUE,NA,NA,NA
"1KP","7631","protein",678,142,NA,TRUE,TRUE,TRUE,TRUE
"1KP","7653","protein",664,592,TRUE,TRUE,NA,NA,NA
"Pease2016","ch01-s0","dna",29,33763,FALSE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch01-s100000","dna",29,29582,TRUE,TRUE,TRUE,FALSE,FALSE
"Pease2016","ch01-s1000000","dna",29,27979,FALSE,FALSE,FALSE,TRUE,FALSE
"Pease2016","ch01-s1100000","dna",29,17705,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch01-s11800000","dna",29,5953,TRUE,TRUE,FALSE,TRUE,FALSE
"Pease2016","ch01-s1200000","dna",29,26959,FALSE,FALSE,FALSE,FALSE,FALSE
"Pease2016","ch01-s1300000","dna",29,27131,FALSE,TRUE,FALSE,TRUE,FALSE
